Num of 404/errors: 1,Crawled: 78,URL: https://www.hellomagazine.com/editorial-policy/, Size: 110973 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.2s
Num of 404/errors: 1,Crawled: 79,URL: https://www.hellomagazine.com/fashion/celebrity-style/, Size: 233253 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.2s
Num of 404/errors: 1,Crawled: 80,URL: https://www.hellomagazine.com/fashion/royal-style/925025/duchess-sophie-boldest-style-move-sheer-dress/, Size: 203505 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.2s
Num of 404/errors: 1,Crawled: 81,URL: https://www.hellomagazine.com/fashion/, Size: 253506 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.3s
Num of 404/errors: 1,Crawled: 82,URL: https://www.hellomagazine.com/healthandbeauty/925021/kate-middleton-makeup-digger-premiere-return-to-glamour/, Size: 208263 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.3s
Num of 404/errors: 1,Crawled: 83,URL: https://www.hellomagazine.com/film/924972/inbetweeners-creators-address-missing-characters-emily-atack/, Size: 324210 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.4s
Num of 404/errors: 1,Crawled: 84,URL: https://www.hellomagazine.com/healthandbeauty/, Size: 293366 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.4s
Num of 404/errors: 1,Crawled: 85,URL: https://www.hellomagazine.com/healthandbeauty/925071/pamela-anderson-debuts-mirror-skin-cleopatra-makeover/, Size: 207878 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.5s
Num of 404/errors: 1,Crawled: 86,URL: https://www.hellomagazine.com/healthandbeauty/makeup/, Size: 230235 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.5s
Num of 404/errors: 1,Crawled: 87,URL: https://www.hellomagazine.com/healthandbeauty/mother-and-baby/923802/once-popular-jobs-grandparents-worked-no-longer-exist/, Size: 214517 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.6s
Num of 404/errors: 1,Crawled: 88,URL: https://www.hellomagazine.com/film/, Size: 298183 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.6s
Num of 404/errors: 1,Crawled: 89,URL: https://www.hellomagazine.com/fashion/royal-style/925032/princess-eugenies-sculpted-dress-royal-way-to-wear-bodycon/, Size: 216314 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.6s
Num of 404/errors: 1,Crawled: 90,URL: https://www.hellomagazine.com/brides/925039/emily-atack-sexy-never-before-seen-pre-wedding-outfit/, Size: 412569 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.6s
Num of 404/errors: 1,Crawled: 91,URL: https://www.hellomagazine.com/cuisine/, Size: 241653 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.7s
Num of 404/errors: 1,Crawled: 92,URL: https://www.hellomagazine.com/film/924759/meet-thirtysomething-star-polly-drapers-two-famous-sons/, Size: 213227 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.7s
Num of 404/errors: 1,Crawled: 93,URL: https://www.hellomagazine.com/film/924808/western-stars-from-the-1960s-then-and-now/, Size: 202971 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.7s
Num of 404/errors: 1,Crawled: 94,URL: https://www.hellomagazine.com/brides/720716/brigitte-bardot-complicated-love-life-hollywood-romances-marriages/, Size: 222018 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.7s
Num of 404/errors: 1,Crawled: 95,URL: https://www.hellomagazine.com/celebrities/867191/charlies-angels-where-are-they-now/, Size: 226114 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.7s
Num of 404/errors: 1,Crawled: 96,URL: https://www.hellomagazine.com/celebrities/876764/forgotten-first-wives-hollywoods-biggest-stars/, Size: 379543 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.8s
Num of 404/errors: 1,Crawled: 97,URL: https://www.hellomagazine.com/celebrities/, Size: 268337 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.8s
Num of 404/errors: 1,Crawled: 98,URL: https://www.hellomagazine.com/brides/893009/prince-philip-habit-marriage-queen-elizabeth-made-her-furious/, Size: 391662 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.8s
Num of 404/errors: 1,Crawled: 99,URL: https://www.hellomagazine.com/fashion/news/, Size: 227186 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.8s
Num of 404/errors: 1,Crawled: 100,URL: https://www.hellomagazine.com/celebrities/918331/hayden-panettiere-cause-of-death-revealed/, Size: 273212 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.9s
Num of 404/errors: 1,Crawled: 101,URL: https://www.hellomagazine.com/hello-product-review-guidelines/, Size: 118509 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 9.9s
Num of 404/errors: 1,Crawled: 102,URL: https://www.hellomagazine.com/celebrities/907543/see-todays-best-celebrity-photos/, Size: 750014 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:17, Elapsed time: 0h 0m 10.0s
Num of 404/errors: 1,Crawled: 103,URL: https://www.hellomagazine.com/hello-vip/, Size: 195707 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.3s
Num of 404/errors: 1,Crawled: 104,URL: https://www.hellomagazine.com/homes/924822/king-charles-defended-over-buckingham-place-decision/, Size: 199388 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.3s
Num of 404/errors: 1,Crawled: 105,URL: https://www.hellomagazine.com/homes/, Size: 235456 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.4s
Num of 404/errors: 1,Crawled: 106,URL: https://www.hellomagazine.com/horoscopes/, Size: 146586 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.4s
Num of 404/errors: 1,Crawled: 107,URL: https://www.hellomagazine.com/homes/924967/prince-harry-meghan-markle-montecito-winter-weather/, Size: 196714 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.4s
Num of 404/errors: 1,Crawled: 108,URL: https://www.hellomagazine.com/podcasts/, Size: 94538 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.5s
Num of 404/errors: 1,Crawled: 109,URL: https://www.hellomagazine.com/mediapack/, Size: 115082 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.5s
Num of 404/errors: 1,Crawled: 110,URL: https://www.hellomagazine.com/puzzles/, Size: 158684 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.5s
Num of 404/errors: 1,Crawled: 111,URL: https://www.hellomagazine.com/privacy-policy/, Size: 162904 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.5s
Num of 404/errors: 1,Crawled: 112,URL: https://www.hellomagazine.com/newsletter/, Size: 102859 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.6s
Num of 404/errors: 1,Crawled: 113,URL: https://www.hellomagazine.com/homes/925106/king-charles-quizzed-by-smp-over-property-tax/, Size: 190810 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.6s
Num of 404/errors: 1,Crawled: 114,URL: https://www.hellomagazine.com/horoscopes/libra/, Size: 152235 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.6s
Num of 404/errors: 1,Crawled: 115,URL: https://www.hellomagazine.com/hfm/, Size: 231244 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.6s
Num of 404/errors: 1,Crawled: 116,URL: https://www.hellomagazine.com/puzzles/wordsearch/20260924/, Size: 112262 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.6s
Num of 404/errors: 1,Crawled: 117,URL: https://www.hellomagazine.com/horoscopes/aries/, Size: 151966 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.7s
Num of 404/errors: 1,Crawled: 118,URL: https://www.hellomagazine.com/horoscopes/capricorn/, Size: 152632 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.7s
Num of 404/errors: 1,Crawled: 119,URL: https://www.hellomagazine.com/horoscopes/leo/, Size: 151857 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.7s
Num of 404/errors: 1,Crawled: 120,URL: https://www.hellomagazine.com/horoscopes/gemini/, Size: 152353 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.7s
Num of 404/errors: 1,Crawled: 121,URL: https://www.hellomagazine.com/horoscopes/aquarius/, Size: 152609 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.7s
Num of 404/errors: 1,Crawled: 122,URL: https://www.hellomagazine.com/hubs/luxe/, Size: 165369 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 10.8s
Num of 404/errors: 1,Crawled: 123,URL: https://www.hellomagazine.com/royalty/, Size: 259598 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 11.0s
Num of 404/errors: 1,Crawled: 124,URL: https://www.hellomagazine.com/royalty/924824/prince-william-princess-kate-digger-premiere/, Size: 268942 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 11.0s
Num of 404/errors: 1,Crawled: 125,URL: https://www.hellomagazine.com/royalty/893233/princess-diana-breaking-royal-rules/, Size: 229466 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 11.1s
Num of 404/errors: 1,Crawled: 126,URL: https://www.hellomagazine.com/royalty/924180/i-watched-as-prince-william-kate-middleton-ignored-the-drama-publicly-and-focused-on-duty-scotland/, Size: 206906 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:18, Elapsed time: 0h 0m 11.1s
Num of 404/errors: 1,Crawled: 127,URL: https://www.hellomagazine.com/royalty/925083/meghan-markle-prince-harry-adorable-baby-kelly-mckee-zajfen/, Size: 261570 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:19, Elapsed time: 0h 0m 11.2s
Num of 404/errors: 1,Crawled: 128,URL: https://www.hellomagazine.com/puzzles/sudoku/20260924/, Size: 126383 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:19, Elapsed time: 0h 0m 11.2s
Num of 404/errors: 1,Crawled: 129,URL: https://www.hellomagazine.com/royalty/925117/princess-lilibet-lowkey-appearance-prince-harry-meghan-markle/, Size: 261197 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:19, Elapsed time: 0h 0m 11.2s
Num of 404/errors: 1,Crawled: 130,URL: https://www.hellomagazine.com/healthandbeauty/hair/, Size: 229279 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:19, Elapsed time: 0h 0m 11.2s
